LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,CertificateNumber,LicenseStatus,TradeName,CorpName,Long,Lat,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,CityStateZip
LBD7,BWL,114,5/1/2016,4/30/2017,2016,340,Renewed,NEW RITZ,"NEW RITZ, INC.",-76.593571,39.285358,Tavern,7 days,"Beer, Wine, & Liquor",504 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,349,5/1/2015,4/30/2016,2015,960,Transferred,THE HORSE YOU CAME IN ON BAR,"ALOGOS, INC.",-76.594001,39.281468,Tavern,7 days,"Beer, Wine, & Liquor",1626-28 THAMES STREET,21231,"Baltimore, MD 21231"
LBD7,BWL,264,5/1/2015,4/30/2016,2015,719,Renewed,CLUB ORPHEUS,"CLUB MITCHELL, INC.",-76.601373,39.287986,Tavern,7 days,"Beer, Wine, & Liquor",1001-03 PRATT STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,216,5/1/2016,4/30/2017,2016,638,Renewed,CLUB BUNNS,"MOMBEE TLC, INC.",-76.624097,39.291376,Tavern,7 days,"Beer, Wine, & Liquor",606-08 LEXINGTON STREET WEST,21201,"Baltimore, MD 21201"
LBD7,BWL,194,5/1/2016,4/30/2017,2016,565,Renewed,NORMA JEAN'S,"PP & G, INC.",-76.609797,39.289752,Tavern,7 days,"Beer, Wine, & Liquor",10 CUSTOM HOUSE AVENUE,21202,"Baltimore, MD 21202"
LBD7,BWL,20,5/1/2016,4/30/2017,2016,67,Renewed,THE DIZZ,"THE DIZZ, INC.",-76.622611,39.323233,Tavern,7 days,"Beer, Wine, & Liquor",300 30TH STREET WEST,21211,"Baltimore, MD 21211"
LBD7,BWL,44,5/1/2016,4/30/2017,2016,133,Renewed,SHOTTI'S,"SHOTTI'S POINT, LLC",-76.603919,39.272559,Tavern,7 days,"Beer, Wine, & Liquor",701 FORT AVENUE EAST,21230,"Baltimore, MD 21230"
LBD7,BWL,79,5/1/2016,4/30/2017,2016,222,Renewed,SCORES BALTIMORE,"SCMD, LLC",-76.610414,39.297618,Tavern,7 days,"Beer, Wine, & Liquor",615 FALLSWAY,21202,"Baltimore, MD 21202"
LBD7,BWL,108,5/1/2016,4/30/2017,2016,318,Renewed,O'CONNORS,4801 EASTERN AVENUE CORPORATION,-76.555604,39.287071,Tavern,7 days,"Beer, Wine, & Liquor",4801 EASTERN AVENUE,21224,"Baltimore, MD 21224"
LBD7,BWL,257,5/1/2016,4/30/2017,2016,741,Renewed,COPPER WOOD AND ZINK,"J-MAKTO COMPANY, LLC",-76.58041,39.283049,Tavern,7 days,"Beer, Wine, & Liquor",2522-24 FAIT AVENUE,21224,"Baltimore, MD 21224"
